기사 제목,기사 링크
"‘마블 라이벌즈’, 시즌 1 ‘영원한 밤의 강림’ 업데이트 공개",https://news.google.com/read/CBMibEFVX3lxTFA3WGtBUThOZ3JZMVZlRG9QM2lkMnZjQ2hKVW1Bd1dTUEJodVpDZm1YQmJ5a1RyYUpaQ1N2U0NsN2xETnYtU0h4c0JlR05Wblo3Rmx6TndmVnFtLU1tVHktUWUtLUdMY0x1NW0xTdIBcEFVX3lxTFBoYmViTWpxVEZ4ekw4dEctVDl0cGZUZnY1ckMtUjFSRHlGUnJuRTNsU1ZoU2lCbnAtRXRfUnZDcEJIRDRFbTJnekVlRmdQVDd2Y1E5SzhIWHNiZm5CUERvQWI2VzJ3ci1JUzNDY2U2ang?hl=ko&gl=KR&ceid=KR%3Ako
"마블 라이벌즈, '신규 히어로' 판타스틱4 트레일러 7일 공개",https://news.google.com/read/CBMicEFVX3lxTE9CQjE0dHlyOVpfU3ZoU045UmdJbWFZa2J4Wkl1bENub0VzaDZIRWJrQzM1RDZ2YzVhQkpnRlNValp3am9vbWNzS29UYi1EX21JaVBSSzAxcmg5VFYyWjk4dG96V3VsblMzMTgyY05qUznSAXRBVV95cUxOaTNoc1VHUnhPUE9sdm90Y1k4SDU2T1NWczI4QTMwM1JrNnEzMzRxZ1NqcktNNUdVNXl0TmtYdG5wMzQ3aVNiYjR0R3pUc0V4SnRfRmRncGlLMWZoT1U3dm4wVG0wa1lSM3BaQlYwUGNOd3l1MQ?hl=ko&gl=KR&ceid=KR%3Ako
"'마블 라이벌즈' 흥행 비결?…에픽 대표, ""재밌으니까""",https://news.google.com/read/CBMiYEFVX3lxTE0wZjZLMEtiOHQ0T0FybnF0SVpJNEhFQW5FRVU4dlBCcDFpNzlKVWxwTXZRY2hTTDNVQVRHQVVJNGs3ZXZCbkduYk51c0xvTFkzemtHTnd2VnVsQmQwR25SUQ?hl=ko&gl=KR&ceid=KR%3Ako
마블 라이벌 유니버스가 확장됩니다! 흥미로운 새로운 캐릭터들을 준비하세요!,https://news.google.com/read/CBMi1gJBVV95cUxONnI2SU8wSUxkUFJ2RWFQTmFnc0xYYXppckVoTFhZcWJWaU9Kb3dlaW1hcWd4Qm1xNkRaOXUtTktEY2JXbHJrNTFqUEJuTXlxT1F1d05MMlFjSkJLSWR1dzdWZFBsLW5EUWtoWkNDbTJQM09IaTBjcUt5NDVpUV9oLWs0MC1ncGphS1kzUjBKUGlrdjdMVF9Ic19IdlRQM0RxbFozZ2NFc3hkYVJGWW9HRzZHYnFqM0t4R1lWRlI0SU5ZbHN6bzlVN3N5ZDFFa3pXLWREZzVVNTV5dXZUU1d2cFp5TnJtcVJUdFlBdXV3T19vYS15aldlQ2Z6OU1XbF9YSmhPU3hXZnVHSkVqS2pOSEtEUDRoVmZ2em5HYkZQRjB3dV9RSk4tRFphWXJsSkdlRFN4UEFxX0NPQzljR3RNQjFSUndrWjhfRFpZNEp3UjZEdzFsVWc?hl=ko&gl=KR&ceid=KR%3Ako
"포켓몬 고 “1월, 패션위크랑 메가레이드데이 챙기세요”",https://news.google.com/read/CBMia0FVX3lxTFBtc1Y5NExnZmVtMDVISjZVNFhwVXd2dHhIR0luM2pSRE9xOUZYQ3FuZ2hJUHVxMDFFRk10UlFhbUtGS1RIaGtHVXFWNHA4X0lTVzBUa0hNQzVaUVducThvZHFucE1DOERaZk53?hl=ko&gl=KR&ceid=KR%3Ako
"""패션 위크: 점령"" 이벤트에 GO로켓단과 비주기가 돌아옵니다. ""그림자 펄기아""를 구해주세요!",https://news.google.com/read/CBMic0FVX3lxTFBpOGlkVTk2bUtoTWhUcjdYS1JtTlhKQnNQc3JOUGZ1emVRVDl4U1Q5TE9iUU5GUTQ3cWxMM2tYMEowVFJBZXpMQ2dWY0ZLVXBDTFFPbFVmMnBaNHB6R3IwU1VKSGJWaTBTYnVNdHRJUlRIdUU?hl=ko&gl=KR&ceid=KR%3Ako
"나이언틱, ‘Pokémon GO Fest 2025’ 개최지 및 일정 공개",https://news.google.com/read/CBMiYkFVX3lxTE4taTFiUXk5WVVoR0lsa0xrNHZ6eVpwZnpsMEpLSTBZNkF1dFlpMGtfd29pWG5NUWZXMExMWUNJLTZnMnFvYWhiVmJ0aHpFQnc5R2lrM1otMkRlOTVDOWlqMDFn?hl=ko&gl=KR&ceid=KR%3Ako
"나이언틱, 포켓몬 고 페스트 2025 개최지 및 일정 공개",https://news.google.com/read/CBMiZEFVX3lxTE1TaHVBeE1VQWpjRXdaVWtqbEp6VG5ad0pjalBvMlp4WG1sVW1YNGVkS25XWlI0bmVPN3dPNmhlYVZNWHJpVnFCTDdVT1pFZXc3WnJOa05qd1lXMzcxa09sZTN4VnI?hl=ko&gl=KR&ceid=KR%3Ako
[한국콘텐츠진흥원] 글로벌 게임산업 트렌드 11+12월,https://news.google.com/read/CBMiTkFVX3lxTE9SRjVFV3lyLUg4X1ZKdDM2a2pCZWZWOTNOTGUxcURmRWR1UmNUNVZpLXM1YWdwZ04teEVkSzJFWlVvR2FZWlVtWHRGSmthUQ?hl=ko&gl=KR&ceid=KR%3Ako
‘빠른 전파 폭발(FRB)’ 기원이 밝혀졌다,https://news.google.com/read/CBMia0FVX3lxTFBzNXRZZ19Kak1CY0swV3FXdnJtX2FndmdaZGFaQWxJUlQ0MFpVSjRPeXVlSnlNcE9haHYxelZaTU1SejBqS3l6dGpEVE9DNnR4VXc2RUNjVDFXVHZxOHFnejdUVlptYnBXTEk4?hl=ko&gl=KR&ceid=KR%3Ako
"로레알-나노엔텍, CES 25서 ‘로레알 셀 바이오프린트’ 공개",https://news.google.com/read/CBMiakFVX3lxTE1PNWV5WnN2ZHdUb2pNMTFmWjBqMDBvWlVLMmE2ZUdqUkpzcURuRzJvcmFFTXNwN0N1a2VCTEtLM3ByTTVyYm1haG53UEk0M3ZDdUlpclEyc0x3YVh6Y1FPZUZsekhObHlnckE?hl=ko&gl=KR&ceid=KR%3Ako
